Random Number, Steps
28069, 196
29863, 77
24522, 157
27225, 90
16761, 66
1959, 81
674, 113
22673, 87
13265, 76
13785, 58
13214, 76
12581, 63
3260, 136
4961, 72
12644, 156
1780, 73
26412, 46
5309, 54
3726, 69
4608, 28
2984, 22
20133, 92
510, 48
3700, 131
25410, 108
27958, 90
4465, 46
3302, 136
5833, 80
9808, 42
19031, 53
6105, 111
11839, 174
11069, 99
31971, 54
21126, 56
17549, 141
23955, 188
11614, 112
29916, 116
9078, 184
19291, 167
12224, 50
18629, 154
23498, 56
13938, 58
8577, 65
3243, 48
11740, 143
11056, 130
13741, 151
24379, 64
22069, 131
27208, 90
1847, 68
6248, 124
4746, 77
10735, 86
25999, 51
13235, 45
29420, 103
29249, 46
20342, 87
12202, 112
19263, 159
6368, 124
4114, 113
1711, 148
22765, 175
8158, 65
12861, 169
9467, 104
28892, 72
31709, 54
15907, 97
32739, 67
18845, 61
1396, 34
29964, 165
12889, 76
13798, 151
6613, 93
32630, 116
17077, 66
25410, 108
11949, 50
16743, 66
30134, 116
28935, 165
23884, 144
18689, 35
21187, 131
29576, 41
10502, 29
2903, 141
15735, 53
14221, 120
1241, 39
25471, 95
18525, 110
23040, 25
23632, 25
2025, 156
9464, 91
2025, 156
9126, 153
27118, 90
21767, 180
31389, 129
13103, 138
13228, 76
262, 29
1073, 23
29172, 165
22546, 206
6136, 62
16437, 40
5021, 90
26935, 90
7268, 70
15519, 120
28053, 59
10480, 148
17054, 128
12038, 42
10088, 42
1953, 37
17479, 172
2577, 27
19056, 53
1363, 65
3351, 136
1838, 130
29872, 41
10503, 130
9434, 60
30855, 147
13056, 32
586, 118
31417, 103
30514, 85
18027, 79
26890, 46
30139, 64
16807, 66
22741, 38
28584, 77
28300, 33
24184, 95
25824, 77
15182, 177
30332, 85
22332, 69
21777, 69
13955, 32
4042, 64
8140, 158
7727, 88
20989, 87
15139, 133
32179, 46
22764, 175
18358, 61
32358, 28
991, 98
7880, 26
5186, 41
18602, 123
30365, 178
11825, 81
6751, 137
22402, 69
11204, 37
6639, 75
9422, 60
384, 14
15151, 84
1983, 50
14945, 71
2551, 84
4977, 90
16958, 84
30806, 147
25093, 64
18117, 66
8713, 140
26339, 139
31441, 85
9284, 34
4643, 33
31762, 129
3346, 92
29019, 72
13207, 45
16591, 97
31185, 147
22395, 74
25694, 77
19519, 154
10351, 117
23058, 56
11650, 50
2388, 27
1513, 65
26811, 95
23684, 188
31391, 85
2395, 32
25009, 157
19452, 92
28773, 165
25027, 87
6282, 124
8063, 96
25844, 77
12552, 37
13602, 89
30405, 33
29495, 103
30779, 59
32469, 41
23563, 100
7049, 80
6428, 168
26609, 139
29111, 134
19143, 198
4320, 46
28010, 33
9019, 39
22441, 113
20529, 136
7888, 52
23867, 51
27218, 90
21623, 69
25215, 188
4338, 77
549, 92
26198, 51
18966, 53
1746, 148
3547, 56
8567, 127
2858, 35
17514, 35
18898, 61
10636, 55
28731, 152
2445, 40
22696, 38
12430, 63
21990, 100
10417, 42
18953, 61
12873, 107
2141, 24
16021, 146
965, 23
2331, 107
5397, 116
3367, 87
16678, 159
16377, 71
25790, 77
32164, 98
7296, 39
17842, 141
12664, 169
3585, 74
22281, 144
25976, 51
11588, 143
11658, 37
21227, 105
10396, 148
27832, 59
19657, 48
29592, 72
1433, 26
27128, 183
9385, 83
22622, 87
84, 9
13281, 76
30939, 209
9531, 78
8098, 65
7559, 132
22905, 193
19954, 43
23563, 100
482, 22
10217, 91
5982, 49
27598, 64
28612, 77
25349, 56
17159, 53
4132, 157
21006, 131
32376, 160
6387, 36
18377, 154
26660, 95
18795, 154
17343, 159
2745, 40
8862, 122
10338, 55
13038, 50
29495, 103
14401, 164
9824, 42
30592, 59
30740, 147
1837, 130
8530, 171
20166, 43
7214, 44
5719, 80
5546, 36
20342, 87
14135, 58
19258, 74
19787, 123
27899, 258
15288, 32
10186, 34
30117, 64
17678, 79
7765, 101
9386, 122
24865, 113
27530, 108
16978, 66
31646, 77
30655, 147
10364, 55
3926, 82
30275, 46
6909, 57
23674, 100
5231, 129
5374, 98
252, 109
32567, 204
23639, 144
8754, 78
19166, 136
27732, 33
22262, 74
1462, 140
23154, 113
29304, 72
31783, 129
27782, 46
11027, 99
22690, 82
3007, 154
6328, 80
12749, 125
19902, 74
3788, 38
28082, 46
2242, 45
30327, 85
32282, 72
3227, 105
27084, 183
3405, 61
12796, 169
5391, 28
15460, 146
18663, 92
32584, 98
24087, 51
15043, 45
31914, 54
9636, 122
15192, 71
29254, 121
10122, 42
29440, 41
8842, 96
8983, 184
25888, 51
16484, 66
17708, 97
17162, 79
29949, 72
11244, 60
29302, 72
10181, 42
19519, 154
13329, 182
21904, 43
7204, 163
25954, 51
6185, 93
25601, 170
25820, 108
16984, 35
8753, 78
4202, 33
30814, 59
21723, 43
15819, 76
